회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
유안타제2호스팩,219960,금융지원 서비스업,기업인수합병,2015-07-17,12월,김정년,,서울특별시
키움스팩3호,218710,금융지원 서비스업,기업인수합병,2015-07-06,12월,손형만,,서울특별시
골든브릿지제3호스팩,219580,금융지원 서비스업,기업인수합병,2015-06-30,12월,박광락,,서울특별시
동운아나텍,094170,반도체 제조업,아날로그 반도체,2015-06-30,12월,김동철,http://www.dwanatech.com,서울특별시
민앤지,214180,기타 정보 서비스업,휴대폰부가서비스,2015-06-30,12월,이경민,http://www.minwise.co.kr,서울특별시
엔에이치스팩8호,218410,금융지원 서비스업,기업인수합병,2015-06-30,12월,김지성,,서울특별시
유테크,178780,전자부품 제조업,"도광판, 몰드프레임",2015-06-30,12월,유봉근,http://www.u-tech.co.kr,경기도
에스엔텍,160600,특수 목적용 기계 제조업,"진공합착기, NPS",2015-06-26,12월,안경준,http://www.sntek.com,경기도
이베스트스팩2호,217600,금융지원 서비스업,기업인수합병,2015-06-26,12월,김웅,,서울특별시
코아스템,166480,의약품 제조업,줄기세포 치료제,2015-06-26,12월,"김경숙, 장진태 (각자 대표이사)",http://www.corestem.com,경기도
세미콘라이트,214310,반도체 제조업,LED Chip,2015-06-25,12월,김영진,http://www.semiconlight.com,경기도
베셀,177350,특수 목적용 기계 제조업,디스플레이 제조장비,2015-06-19,12월,서기만,http://www.vessel21.com,경기도
대신밸런스제1호스팩,217270,금융지원 서비스업,기업인수합병,2015-06-18,12월,정욱,,경기도
하나머스트5호스팩,218150,금융지원 서비스업,기업인수합병,2015-06-18,12월,정진섭,,서울특별시
싸이맥스,160980,특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",2015-06-17,12월,"정구용, 배도인",http://www.cymechs.com,경기도
하이제3호스팩,217500,금융지원 서비스업,기업인수합병,2015-06-16,12월,홍창배,,서울특별시
엔에이치스팩7호,217810,금융지원 서비스업,,2015-06-12,12월,김윤태,,서울특별시
픽셀플러스,087600,전자부품 제조업,CMOS 이미지센서 및 칩셋,2015-06-12,12월,이서규,http://www.pixelplus.com,경기도
한화ACPC스팩,217620,금융지원 서비스업,기업인수합병,2015-06-10,12월,김종환,,서울특별시
제노포커스,187420,기초 의약물질 및 생물학적 제제 제조업,산업용 효소,2015-05-29,12월,김의중,http://www.genofocus.com,대전광역시
미래에셋제3호스팩,215750,금융지원 서비스업,기업인수합병,2015-05-22,12월,박만순,,서울특별시
대우스팩3호,215580,금융지원 서비스업,기업인수및합병,2015-05-19,12월,전세훈,,서울특별시
한화MGI스팩,215380,금융지원 서비스업,기업인수합병,2015-05-18,12월,윤경순,,서울특별시
대우SBI스팩1호,215480,금융지원 서비스업,기업인수및합병,2015-05-13,12월,다까하시요시미,,서울특별시
엔에이치스팩5호,215790,금융지원 서비스업,기업 인수 합병,2015-05-08,12월,이병훈,,서울특별시
우리산업,215360,자동차 부품 제조업,ACTUATOR 등,2015-05-06,12월,김정우,http://www.woory.com,경기도
메가스터디교육,215200,일반 교습 학원,"오프라인 학원, 온라인 강의",2015-05-04,12월,손성은,http://www.megastudy.net,서울특별시
유진에이씨피씨스팩2호,215090,금융지원 서비스업,기업인수합병,2015-04-28,12월,변해봉,,서울특별시
하나머스트4호스팩,215100,금융지원 서비스업,기업인수합병,2015-04-22,12월,이일근,,서울특별시
디알텍,214680,의료용 기기 제조업,기업인수합병,2015-04-20,12월,안성현,http://hanwha-ace-spac.co.kr,경기도
유지인트,195990,특수 목적용 기계 제조업,소형 머시닝센터,2015-04-13,12월,"박승준, 이승환 (각자 대표이사)",http://www.ugint.co.kr,대구광역시
골프존,215000,소프트웨어 개발 및 공급업,골프시뮬레이터,2015-04-03,12월,장성원,http://www.golfzon.com,대전광역시
케이티비스팩2호,214150,금융지원 서비스업,기업인수,2015-04-03,12월,편원진,,서울특별시
SK1호스팩,207930,금융지원 서비스업,기업인수합병,2015-03-31,12월,양승재,,서울특별시
퓨쳐스트림네트웍스,214270,소프트웨어 개발 및 공급업,기업인수합병,2015-03-25,12월,신창균,,서울특별시
포시에스,189690,소프트웨어 개발 및 공급업,기업용 리포팅 소프트웨어 솔루션(OZ-Report 등),2015-02-11,06월,"조종민, 박미경",http://www.forcs.com,서울특별시
덕산네오룩스,213420,전자부품 제조업,"HTL(정공수송층), HIL(정공주입층), RED HOST",2015-02-06,12월,"이준호, 강병주",http://www.dsneolux.co.kr,충청남도
골든브릿지제2호스팩,206660,금융지원 서비스업,기업인수합병,2015-02-05,12월,최형철,,서울특별시
국일신동,060480,1차 비철금속 제조업,황동봉,2014-12-29,12월,"김경룡,손인국(각자대표)",http://www.kukilmetal.com,경기도
