No.,Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency
727,011280,Tailim Pkg,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","70,805,940","35,402,970,000",500,KRW
728,134790,Teems,033201,Manufacture of Furniture,"2,000,000","1,000,000,000",500,KRW
729,008000,Toray Chemical Korea(TCK),032005,Manufacture of Man-Made Fibers,"46,363,851","237,230,757,000","5,000",KRW
730,004870,Tway Holdings,032303,"Manufacture of Cement, Lime and Plaster and Its Products","16,274,138","8,137,069,000",500,KRW
731,072130,UANGEL,106301,"Data Processing, Hosting, Portals and Other Internet Information Media Service Activities","13,195,454","6,597,727,000",500,KRW
732,011330,UNICHEM,031501,"Manufacture of Luggage, Footwear and Similar Products","50,980,259","25,490,129,500",500,KRW
733,014830,UNID,032001,Manufacture of Basic Chemicals,"8,889,843","44,449,215,000","5,000",KRW
734,000910,UNION,032303,"Manufacture of Cement, Lime and Plaster and Its Products","15,611,619","7,805,809,500",500,KRW
735,077500,UNIQUEST COPORATION,074605,Wholesale of Machinery Equipment and Supplies,"27,049,809","13,524,904,500",500,KRW
736,096300,VIETNAM DEVELOP1,116402,Investment Companies,"124,249,261","90,701,960,172",0,KRW
737,100220,VISANG,105801,"Publishing of Books, Magazines and Other Publications","12,996,741","6,498,370,500",500,KRW
738,016580,WHANIN PHARM,032102,Manufacture of Medicaments,"18,600,070","9,700,035,000",500,KRW
739,010050,WIB,116409,Other Financial Intermediation,"474,203,406","237,101,703,000",500,KRW
740,008600,WILLBES,074604,Wholesale of Household Goods,"57,000,000","62,646,140,000","1,000",KRW
741,024070,WISCOM,032202,Manufacture of Plastic Products,"15,025,920","7,512,960,000",500,KRW
742,005820,WONLIM,031303,Manufacture of  Knitted Fabric Mills and Fabric Products,"2,200,000","11,000,000,000","5,000",KRW
743,105840,WOOJIN,032702,"Manufacture of Instruments and Appliances for Measuring, Checking, Testing, Navigating, controlling and Other Purposes, Except Optical Instruments","17,360,000","8,680,000,000",500,KRW
744,049800,WOOJIN PLAIMM,032902,Manufacture of Special-Purpose Machinery,"10,000,000","5,000,000,000",500,KRW
745,016880,WOONGJIN,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","72,677,207","38,588,603,500",500,KRW
746,095720,WOONGJIN THINKBIG,168501,Primary Education,"34,621,165","17,310,582,500",500,KRW
747,118000,WOORIDUL HUEBRAIN,074605,Wholesale of Machinery Equipment and Supplies,"18,429,147","9,214,573,500",500,KRW
748,004720,WOORIDUL PHARM,032102,Manufacture of Medicaments,"10,055,292","5,027,646,000",500,KRW
749,017370,WOOSHIN SYSTEMS,032902,Manufacture of Special-Purpose Machinery,"18,314,054","9,157,027,000",500,KRW
750,006980,WOOSUNG FEED,031006,"Manufacture of Grain Mill Products, Starches and Starch Products","30,900,000","15,450,000,000",500,KRW
751,103130,WoongjinEnergy,032601,Manufacture of Semiconductor,"22,889,719","114,448,595,000","5,000",KRW
752,000030,Woori Bank,116401,Banking and Savings Institutions,"676,000,000","3,381,391,855,000","5,000",KRW
753,010600,YBROAD,074601,Wholesale on a Fee or Contract Basis,"15,249,884","7,624,942,000",500,KRW
754,012280,YEONGHWA MTL,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"45,451,006","23,597,333,000",500,KRW
755,015360,YESCO,043502,"Manufacture of Gas, Distribution of Gaseous Fuel Through Mains","6,000,000","30,000,000,000","5,000",KRW
756,037270,YGP,137103,Advertising,"58,170,704","29,710,352,000",500,KRW
757,002920,YOOSUNG ENT,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"25,947,500","12,973,750,000",500,KRW
758,008730,YOULCHON CHEM,032202,Manufacture of Plastic Products,"24,800,000","14,776,380,000",500,KRW
759,012160,YOUNG HEUNG I&amp;S,032401,Manufacture of Basic Iron and Steel,"85,826,509","42,913,254,500",500,KRW
760,014440,YOUNGBO CHEM,032202,Manufacture of Plastic Products,"20,000,000","10,000,000,000",500,KRW
761,000670,YOUNGPOONG,032402,Manufacture of Basic Precious and Non-ferrous Metals,"1,842,040","9,210,200,000","5,000",KRW
762,006740,YOUNGPOONG PAPR MFG,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","22,200,000","11,100,000,000",500,KRW
763,070960,YP,095501,Accommodation,"48,133,333","240,666,665,000","5,000",KRW
764,000100,YUHAN,032102,Manufacture of Medicaments,"11,665,896","59,510,420,000","5,000",KRW
765,003460,YUHWA SECU,116601,Activities Auxiliary to Financial Service Activities,"11,340,483","74,178,840,000","5,000",KRW
766,003520,YUNGJIN PHARM,032102,Manufacture of Medicaments,"182,892,731","91,446,365,500",500,KRW
767,011690,YUYANG D&amp;U,032601,Manufacture of Semiconductor,"46,144,269","23,072,134,500",500,KRW
768,111770,Youngone Corp,074608,Wholesale of Non-Specialized Goods,"44,311,468","22,155,734,000",500,KRW
769,009970,Youngone Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","13,635,592","6,817,796,000",500,KRW
770,003470,Yuanta Securities,116601,Activities Auxiliary to Financial Service Activities,"199,577,435","1,062,448,235,000","5,000",KRW
771,000220,Yuyu Pharma,032102,Manufacture of Medicaments,"6,161,406","7,835,791,000","1,000",KRW
772,015020,e-STARCO,126801,Real Estate Activities with Own or Leased Property,"42,851,600","21,425,800,000",500,KRW
773,139480,emart,074701,Retail Sale in Non-Specialized Stores,"27,875,819","139,379,095,000","5,000",KRW
774,058860,ktis,106309,Other Information Service Activities,"34,802,000","17,401,000,000",500,KRW
775,027970,seha,031701,"Manufacture of Pulp, Paper and Paperboard","23,499,013","23,499,013,000","1,000",KRW
